ID,Scan status (25 Jul 2026),Recency,District,Area,Asking price UGX m,Units,Monthly rent UGX m,Gross yield %,L3 fully-loaded payback yrs,Land size,Tenure,Condition,Source,URL,Notes
93,New in Jul re-scan,Active Jul 2026,Wakiso,Najjera,795.5,n/s,6.6,10.0,16.6,,,Furnished 2-bed units; occupied,Jiji,https://jiji.ug/kira/houses-apartments-for-sale/furnished-2bdrm-block-of-flats-in-najjera-kira-for-sale-C6YxoKrnh76MVyhGpSdostZl.html,Advert states UGX 79.2m annual income (= 6.6m/month)
94,New in Jul re-scan,Active Jul 2026,Wakiso,Namugongo,659.7,n/s,,,,,,3-bed units; fully occupied,Jiji,https://jiji.ug/kira/houses-apartments-for-sale/furnished-3bdrm-block-of-flats-in-namugongo-kira-for-sale-dJUdnLazKJifxjBwZZdyXiMM.html,No rent figure stated
95,New in Jul re-scan,Active Jul 2026,Wakiso,Namugongo,659.8,n/s,,,,,,3-bed units; fully occupied,Jiji,https://jiji.ug/kira/houses-apartments-for-sale/furnished-3bdrm-block-of-flats-in-namugongo-kira-for-sale-rmnQfA7C3m1F9lqmZb88EST3.html,Possible duplicate of the other Jiji Namugongo 659.7m advert
96,New in Jul re-scan,Active Jul 2026,Wakiso,Kira,359.0,8,,,,,,8 units; all occupied; 1-bed,Jiji,https://jiji.ug/kira/houses-apartments-for-sale/furnished-1bdrm-apartment-in-kira-posh-for-sale-flWt02fIIJH0fYZQrodAwL6W.html,Listed as 'apartment' but text confirms 8-unit occupied block
97,New in Jul re-scan,Active Jul 2026,Wakiso,Kira Town,359.7,8,,,,,,8 units; 1-bed,Jiji,https://jiji.ug/kira/houses-apartments-for-sale/furnished-1bdrm-block-of-flats-in-kira-town-for-sale-pJBxJ6EufOhadRkVzOLv3apq.html,Possible duplicate of Kira 359m 8-unit advert (price 0.7m apart)
98,New in Jul re-scan,Active Jul 2026,Wakiso,Kira,198.0,4,,,,,,4 units; 1-bed; roadside,Jiji,https://jiji.ug/kira/houses-apartments-for-sale/furnished-1bdrm-block-of-flats-in-kira-by-the-tarmack-for-sale-yDEyo1tAnyIdzPrV1MRkwoZ0.html,No rent figure stated
99,New in Jul re-scan,Active Jul 2026,Wakiso,Kira,654.0,n/s,,,,,,1-bed units; occupied,Jiji,https://jiji.ug/kira/houses-apartments-for-sale/furnished-1bdrm-block-of-flats-in-kira-for-sale-rmOfRUjEH7S4x74AbPW5Z73t.html,No rent figure stated
100,New in Jul re-scan,Active Jul 2026,Wakiso,Kira,497.0,n/s,,,,,,2-bed units,Jiji,https://jiji.ug/kira/houses-apartments-for-sale/furnished-2bdrm-block-of-flats-in-kira-for-sale-1HQiRXNoU1EKe0dOJ2pCSAJ2.html,No rent figure stated
101,New in Jul re-scan,Active Jul 2026,Kampala,Najjanankumbi (Entebbe Rd),785.0,8,,,,,,8 x 2-bed apartments; new,Jiji,https://jiji.ug/division-a/houses-apartments-for-sale/11bdrm-block-of-flats-in-najjanankumbi-along-division-a-for-sale-B653jAJcKhzZEhFzEDjZ0ihx.html,Jiji tags location 'Division A' (Entebbe) but text says Najjanankumbi — verify location
102,New in Jul re-scan,Active Jul 2026,Kampala,Najjanankumbi,650.0,8,,,,,,8 apartments; new,Jiji,https://jiji.ug/division-a/houses-apartments-for-sale/8bdrm-block-of-flats-in-najjanankumbi-division-a-for-sale-f61VAuLKVXQlfnKvMM0y3ib1.html,Jiji tags location 'Division A' (Entebbe) but text says Najjanankumbi — verify location
103,New in Jul re-scan,Active Jul 2026,Kampala,Nateete Kigagga,550.0,8,,,,,,Rental property; land size in advert,Jiji,https://jiji.ug/division-a/houses-apartments-for-sale/8bdrm-block-of-flats-in-division-a-for-sale-mNizLF8zFoNvLEGSfbNUZntv.html,Confirm land size and unit schedule from full advert
104,New in Jul re-scan,Active Jul 2026,Wakiso,Gayaza,700.0,5,,,,100 × 100 ft,Title stated — verify,Unfinished; titled; 100 by 100 ft,Jiji,https://jiji.ug/wakiso-wakiso/houses-apartments-for-sale/5bdrm-block-of-flats-in-wakiso-wakiso-for-sale-2C6G5gY5aUvrDVJkNxPrUuNM.html,Shell/unfinished — budget completion costs; price negotiable per advert
105,New in Jul re-scan,Active Jul 2026,Wakiso,Bujjuuko,100.0,n/s,,,,,,Block of flats; 1-bed units,Jiji,https://jiji.ug/wakiso-wakiso/houses-apartments-for-sale/1bdrm-block-of-flats-in-bujjuuko-wakiso-wakiso-for-sale-rQzJXFMVFgViajBiEo9ypQoz.html,Outlying location on Mityana Rd; no rent figure stated
106,New in Jul re-scan,Active Jul 2026,Wakiso,Buloba,83.0,n/s,,,,,,Rental units,Jiji,https://jiji.ug/central-division/houses-apartments-for-sale/1bdrm-apartment-in-buloba-central-division-for-sale-dk7Cm2DGSEM2OPa2mqTYEAmn.html,'Rentals on quick sale' — confirm unit count; outlying location on Mityana Rd
